class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,Kimono,26,38,64,1.4344262295081966,0.0,0.0,0.0,0.0,0.0,1,0,0,1,2,122,0,0,-1.6,nan,0,0,0,0,0,122,2,0.0,2.0,122.0
ClassB,Kimono,all,38,64,50.7172131147541,46.7,59.1,38.7,64.9,99.2,2,1,0,1,2,127,1,1,64.1,0.136,0,1,0,234,235,362,237,140.0,97.0,222.0
ClassB,Kimono,0,42,8,54.057377049180225,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,42,8,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,8,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,42,16,56.91791666815843,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,42,16,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,16,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,42,32,53.33369283865391,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.138,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,42,32,0.0,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,42,32,50.0,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.138,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,42,64,53.45601115966024,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.134,0,1,0,234,235,240,235,140.0,95.0,100.0
