class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassE,Johnny,63,26,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.219,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,26,64,87.2,87.6,86.9,90.2,90.8,11,10,0,1,600,650,3,4,81.0,0.213,0,3,0,5947,5950,6600,6550,5735.0,815.0,865.0
ClassE,Johnny,0,30,32,86.4,85.6,87.1,90.6,89.1,9,7,2,0,600,507,7,16,79.4,0.235,0,7,0,4886,4893,5400,5493,4704.0,789.0,696.0
ClassE,Johnny,27,30,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.137,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,30,32,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.215,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,30,32,88.8,88.2,89.5,92.3,91.0,11,9,2,0,600,507,7,16,83.1,0.223,0,7,0,6086,6093,6600,6693,5904.0,789.0,696.0
ClassE,Johnny,0,30,64,85.4,82.3,88.9,96.9,89.7,9,9,0,0,600,170,5,7,85.6,0.237,0,5,0,5225,5230,5400,5830,4798.0,1032.0,602.0
ClassE,Johnny,27,30,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.137,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,63,30,64,100.0,100.0,100.0,100.0,100.0,1,1,0,0,0,0,0,0,100.0,0.218,0,0,0,600,600,600,600,600.0,0.0,0.0
ClassE,Johnny,all,30,64,88.0,85.3,90.9,97.4,91.5,11,11,0,0,600,170,5,7,88.3,0.226,0,5,0,6425,6430,6600,7030,5998.0,1032.0,602.0
ClassE,Johnny,0,34,32,82.4,87.5,77.8,77.8,87.5,9,7,0,2,600,1200,0,0,66.7,0.211,0,0,0,4200,4200,5400,4800,4200.0,600.0,1200.0
