seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_all,0.2,0.9,640,15.6,20.7,12.5,54.9,91.1,17,5,2,10,232,1960,164,129,45.8,0.189,10,148,0
ClassB_BasketballDrive_all,0.25,0.1,640,18.8,32.4,13.2,40.0,98.5,17,0,7,10,26,2606,77,101,37.7,0.178,12,66,1
ClassB_BasketballDrive_all,0.25,0.15,640,22.5,35.6,16.5,45.2,98.2,17,0,7,10,37,2379,68,96,42.8,0.182,12,57,1
ClassB_BasketballDrive_all,0.25,0.2,640,28.8,42.6,21.7,49.9,98.1,17,4,3,10,43,2178,60,80,47.5,0.185,9,52,1
ClassB_BasketballDrive_all,0.25,0.25,640,28.5,40.4,22.0,52.9,97.6,17,4,3,10,56,2048,57,80,50.3,0.186,10,46,0
ClassB_BasketballDrive_all,0.25,0.3,640,28.8,39.7,22.5,54.9,97.3,17,5,2,10,65,1959,56,72,52.1,0.187,10,45,0
ClassB_BasketballDrive_all,0.25,0.35,640,28.7,39.3,22.6,55.6,97.0,17,5,2,10,75,1931,55,70,52.6,0.187,9,45,0
ClassB_BasketballDrive_all,0.25,0.4,640,28.7,39.0,22.6,56.1,96.9,17,6,1,10,77,1907,53,69,53.1,0.190,9,43,0
ClassB_BasketballDrive_all,0.25,0.45,640,29.2,39.6,23.1,56.4,97.0,17,6,1,10,76,1895,54,69,53.4,0.190,8,45,0
ClassB_BasketballDrive_all,0.25,0.5,640,33.1,44.8,26.2,56.6,96.9,17,6,1,10,78,1885,53,67,53.6,0.189,6,46,0
ClassB_BasketballDrive_all,0.25,0.55,640,32.1,43.4,25.5,56.7,96.9,17,6,1,10,80,1882,56,69,53.6,0.190,8,48,1
ClassB_BasketballDrive_all,0.25,0.6,640,32.1,43.4,25.5,56.7,96.8,17,6,1,10,82,1883,58,69,53.4,0.189,9,49,1
ClassB_BasketballDrive_all,0.25,0.65,640,29.8,40.3,23.6,56.4,96.6,17,6,1,10,86,1895,62,73,53.0,0.189,8,54,1
ClassB_BasketballDrive_all,0.25,0.7,640,32.1,43.4,25.4,56.4,96.6,17,6,1,10,86,1895,64,71,52.9,0.188,9,54,1
ClassB_BasketballDrive_all,0.25,0.75,640,30.8,41.9,24.3,56.0,96.7,17,6,1,10,84,1910,72,77,52.5,0.188,9,61,1
ClassB_BasketballDrive_all,0.25,0.8,640,30.2,41.3,23.8,55.6,96.6,17,6,1,10,85,1931,82,88,51.7,0.186,10,72,1
ClassB_BasketballDrive_all,0.25,0.85,640,25.5,34.8,20.1,55.2,95.8,17,5,2,10,105,1948,94,98,50.6,0.188,9,86,1
ClassB_BasketballDrive_all,0.25,0.9,640,21.2,28.9,16.7,53.8,93.6,17,5,2,10,161,2006,150,130,46.7,0.187,14,127,0
ClassB_BasketballDrive_all,0.3,0.1,640,18.8,32.6,13.2,39.6,98.6,17,0,7,10,25,2623,77,101,37.3,0.177,12,66,1
ClassB_BasketballDrive_all,0.3,0.15,640,22.4,35.6,16.3,44.9,98.3,17,0,7,10,33,2392,66,96,42.7,0.182,12,55,1
ClassB_BasketballDrive_all,0.3,0.2,640,28.9,43.0,21.7,49.4,98.2,17,4,3,10,39,2200,57,79,47.2,0.184,9,49,1
ClassB_BasketballDrive_all,0.3,0.25,640,28.4,40.6,21.8,52.4,97.9,17,4,3,10,50,2069,55,80,50.0,0.186,10,44,0
ClassB_BasketballDrive_all,0.3,0.3,640,28.7,39.9,22.3,54.5,97.6,17,5,2,10,58,1978,54,72,51.9,0.187,10,43,0
