class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB,BasketballDrive,32,38,16,10.2,66.2,5.5,8.2,98.6,4,0,0,4,1,815,3,5,7.8,0.199,0,3,0
ClassB,BasketballDrive,56,38,16,32.0,31.9,31.9,55.7,56.0,6,0,6,0,302,306,23,26,8.6,0.179,0,23,0
ClassB,BasketballDrive,all,38,16,36.2,43.1,31.1,64.0,88.8,17,5,8,4,351,1566,81,98,54.0,0.182,8,71,0
ClassB,BasketballDrive,0,38,32,42.9,46.4,39.9,83.8,97.7,7,5,2,0,54,447,50,67,80.1,0.184,6,44,0
ClassB,BasketballDrive,32,38,32,7.7,48.7,4.2,8.4,98.7,4,0,0,4,1,813,5,7,7.8,0.200,0,5,0
ClassB,BasketballDrive,56,38,32,31.8,31.0,32.5,58.0,55.7,6,0,6,0,318,290,21,24,8.8,0.190,0,21,0
ClassB,BasketballDrive,all,38,32,36.4,43.0,31.5,64.4,88.2,17,5,8,4,373,1547,76,99,54.1,0.185,6,70,0
ClassB,BasketballDrive,0,38,64,43.4,47.0,40.3,83.8,97.8,7,5,2,0,53,447,52,63,80.1,0.183,7,45,0
ClassB,BasketballDrive,32,38,64,9.2,51.1,5.1,9.5,95.5,4,0,1,3,4,804,4,5,8.6,0.203,0,4,0
ClassB,BasketballDrive,56,38,64,32.3,32.2,32.2,57.5,57.9,6,0,6,0,289,293,19,21,12.9,0.180,0,19,0
ClassB,BasketballDrive,all,38,64,37.0,43.9,31.9,64.5,89.0,17,5,9,3,346,1542,75,89,54.8,0.184,7,68,0
ClassB,Cactus,58,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0
ClassB,Cactus,all,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0
ClassB,Cactus,58,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0
ClassB,Cactus,all,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0
ClassB,Cactus,58,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0
ClassB,Cactus,all,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0
ClassB,Cactus,58,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0
ClassB,Cactus,all,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0
ClassB,Cactus,58,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0
ClassB,Cactus,all,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0
ClassB,Cactus,58,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0
ClassB,Cactus,all,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0
ClassB,Cactus,58,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0
ClassB,Cactus,all,26,16,30.0,35.0,26.2,63.2,84.5,1,0,1,0,58,184,7,14,50.2,0.124,0,7,0
ClassB,Cactus,58,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0
ClassB,Cactus,all,26,32,30.2,35.7,26.2,63.2,86.1,1,0,1,0,51,184,7,11,51.6,0.122,0,7,0
ClassB,Cactus,58,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0
ClassB,Cactus,all,26,64,26.7,31.7,23.0,58.4,80.4,1,0,1,0,71,208,9,14,42.4,0.121,0,9,0
ClassB,Cactus,58,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0
ClassB,Cactus,all,30,16,14.8,18.5,12.4,60.6,90.2,1,0,1,0,33,197,9,16,52.2,0.127,0,9,0
ClassB,Cactus,58,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0
ClassB,Cactus,all,30,32,20.6,25.4,17.4,60.6,88.3,1,0,1,0,40,197,8,16,51.0,0.129,0,8,0
ClassB,Cactus,58,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0
ClassB,Cactus,all,30,64,25.6,31.9,21.4,56.6,84.5,1,0,1,0,52,217,5,15,45.2,0.125,0,5,0
ClassB,Cactus,58,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0
ClassB,Cactus,all,34,16,25.6,30.6,22.0,64.2,89.4,1,0,1,0,38,179,8,13,55.0,0.128,0,8,0
ClassB,Cactus,58,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0
ClassB,Cactus,all,34,32,21.9,26.5,18.6,60.8,86.6,1,0,1,0,47,196,9,11,49.6,0.121,0,9,0
ClassB,Cactus,58,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0
ClassB,Cactus,all,34,64,14.7,18.0,12.4,61.8,89.6,1,0,1,0,36,191,8,10,53.0,0.125,0,8,0
ClassB,Cactus,58,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0
ClassB,Cactus,all,38,16,27.0,32.9,22.8,65.4,94.5,1,0,1,0,19,173,8,17,60.0,0.132,0,8,0
ClassB,Cactus,58,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0
ClassB,Cactus,all,38,32,21.5,24.7,19.0,69.2,89.9,1,0,1,0,39,154,5,14,60.4,0.134,0,5,0
ClassB,Cactus,58,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0
ClassB,Cactus,all,38,64,30.8,36.2,26.8,62.0,83.8,1,0,1,0,60,190,6,15,48.8,0.131,0,6,0
ClassB,Kimono,0,18,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,18,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.129,0,0,0
ClassB,Kimono,all,18,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.141,0,1,0
ClassB,Kimono,0,18,32,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0
ClassB,Kimono,26,18,32,4.8,100.0,2.5,2.5,100.0,1,0,0,1,0,119,0,0,2.5,0.368,0,0,0
