,class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
40,ClassB,BasketballDrive,0,38,8,42.2,45.6,39.2,83.4,97.1,7,5,2,0,68,459,55,66,79.0,0.184,8,46,0,2253,2308,2767,2376,1086.0,1293.0,1681.0
41,ClassB,BasketballDrive,32,38,8,10.7,59.1,5.9,9.8,98.9,4,0,1,3,1,801,4,6,9.2,0.206,0,4,0,83,87,888,88,52.0,36.0,836.0
42,ClassB,BasketballDrive,56,38,8,30.8,30.5,30.9,54.1,53.7,6,0,6,0,322,317,20,24,4.5,0.179,0,20,0,353,373,690,695,213.0,486.0,477.0
43,ClassB,BasketballDrive,all,38,8,36.9,43.7,31.9,63.8,87.7,17,5,9,3,390,1572,78,95,53.0,0.184,8,69,0,2695,2773,4345,3163,1384.0,1786.0,2961.0
44,ClassB,BasketballDrive,0,38,16,42.1,45.6,39.1,83.9,97.9,7,5,2,0,49,446,55,67,80.1,0.182,8,45,0,2266,2321,2767,2370,1082.0,1291.0,1685.0
45,ClassB,BasketballDrive,32,38,16,10.2,66.2,5.5,8.2,98.6,4,0,0,4,1,815,3,5,7.8,0.199,0,3,0,70,73,888,74,49.0,25.0,839.0
46,ClassB,BasketballDrive,56,38,16,32.0,31.9,31.9,55.7,56.0,6,0,6,0,302,306,23,26,8.6,0.179,0,23,0,361,384,690,686,220.0,470.0,470.0
47,ClassB,BasketballDrive,all,38,16,36.2,43.1,31.1,64.0,88.8,17,5,8,4,351,1566,81,98,54.0,0.182,8,71,0,2698,2779,4345,3130,1352.0,1785.0,2993.0
40,ClassB,BasketballDrive,0,38,32,42.9,46.4,39.9,83.8,97.7,7,5,2,0,54,447,50,67,80.1,0.184,6,44,0,2270,2320,2767,2374,1103.0,1274.0,1664.0
41,ClassB,BasketballDrive,32,38,32,7.7,48.7,4.2,8.4,98.7,4,0,0,4,1,813,5,7,7.8,0.2,0,5,0,70,75,888,76,37.0,39.0,851.0
42,ClassB,BasketballDrive,56,38,32,31.8,31.0,32.5,58.0,55.7,6,0,6,0,318,290,21,24,8.8,0.19,0,21,0,379,400,690,718,224.0,498.0,466.0
43,ClassB,BasketballDrive,all,38,32,36.4,43.0,31.5,64.4,88.2,17,5,8,4,373,1547,76,99,54.1,0.185,6,70,0,2722,2798,4345,3171,1367.0,1811.0,2978.0
44,ClassB,BasketballDrive,0,38,64,43.4,47.0,40.3,83.8,97.8,7,5,2,0,53,447,52,63,80.1,0.183,7,45,0,2268,2320,2767,2373,1116.0,1260.0,1651.0
45,ClassB,BasketballDrive,32,38,64,9.2,51.1,5.1,9.5,95.5,4,0,1,3,4,804,4,5,8.6,0.203,0,4,0,80,84,888,88,45.0,43.0,843.0
46,ClassB,BasketballDrive,56,38,64,32.3,32.2,32.2,57.5,57.9,6,0,6,0,289,293,19,21,12.9,0.18,0,19,0,378,397,690,686,222.0,468.0,468.0
47,ClassB,BasketballDrive,all,38,64,37.0,43.9,31.9,64.5,89.0,17,5,9,3,346,1542,75,89,54.8,0.184,7,68,0,2728,2803,4345,3149,1385.0,1771.0,2960.0
48,ClassB,BasketballDrive,0,42,8,41.8,45.8,38.4,82.0,98.0,7,5,2,0,46,498,47,58,78.6,0.183,4,42,0,2222,2269,2767,2315,1062.0,1256.0,1705.0
49,ClassB,BasketballDrive,32,42,8,7.6,61.0,4.1,6.5,98.3,4,0,0,4,1,830,4,4,6.0,0.203,0,4,0,54,58,888,59,36.0,23.0,852.0
50,ClassB,BasketballDrive,56,42,8,34.0,37.7,30.7,48.8,60.4,6,0,6,0,221,353,18,26,14.2,0.175,0,18,0,319,337,690,558,212.0,350.0,478.0
51,ClassB,BasketballDrive,all,42,8,36.0,44.6,30.2,61.4,90.9,17,5,8,4,266,1677,71,89,53.6,0.182,5,65,0,2597,2668,4345,2934,1312.0,1629.0,3033.0
52,ClassB,BasketballDrive,0,42,16,43.4,47.3,40.0,82.9,98.2,7,5,2,0,42,473,47,62,79.7,0.185,6,41,0,2247,2294,2767,2336,1107.0,1232.0,1660.0
53,ClassB,BasketballDrive,32,42,16,7.7,67.9,4.1,6.0,100.0,4,0,0,4,0,835,5,5,5.4,0.202,0,5,0,48,53,888,53,36.0,17.0,852.0
54,ClassB,BasketballDrive,56,42,16,32.3,34.8,30.0,48.4,56.6,6,0,5,1,256,356,20,23,8.4,0.181,0,20,0,314,334,690,590,207.0,387.0,483.0
55,ClassB,BasketballDrive,all,42,16,36.9,45.2,31.1,61.7,90.0,17,5,7,5,298,1664,72,90,53.2,0.185,6,66,0,2609,2681,4345,2979,1350.0,1636.0,2995.0
48,ClassB,BasketballDrive,0,42,32,42.5,46.7,38.9,81.6,98.2,7,5,2,0,41,509,47,63,78.4,0.184,5,42,0,2211,2258,2767,2299,1076.0,1226.0,1691.0
49,ClassB,BasketballDrive,32,42,32,7.8,63.8,4.2,6.5,100.0,4,0,0,4,0,830,5,5,6.0,0.206,0,5,0,53,58,888,58,37.0,21.0,851.0
50,ClassB,BasketballDrive,56,42,32,37.9,42.0,34.3,51.7,63.7,6,0,6,0,203,333,17,21,19.9,0.17,0,17,0,340,357,690,560,237.0,327.0,453.0
51,ClassB,BasketballDrive,all,42,32,37.2,46.2,31.1,61.5,91.6,17,5,8,4,245,1672,69,89,54.3,0.183,5,64,0,2604,2673,4345,2918,1350.0,1575.0,2995.0
52,ClassB,BasketballDrive,0,42,64,42.8,47.0,39.3,81.8,98.1,7,5,2,0,45,504,46,61,78.5,0.184,4,42,0,2217,2263,2767,2308,1087.0,1224.0,1680.0
53,ClassB,BasketballDrive,32,42,64,8.1,71.7,4.3,6.0,100.0,4,0,0,4,0,835,3,3,5.6,0.196,0,3,0,50,53,888,53,38.0,15.0,850.0
54,ClassB,BasketballDrive,56,42,64,37.1,40.5,34.1,51.9,62.2,6,0,6,0,218,332,14,19,18.3,0.185,0,14,0,344,358,690,576,235.0,345.0,455.0
55,ClassB,BasketballDrive,all,42,64,37.4,46.2,31.3,61.5,91.0,17,5,8,4,263,1671,63,83,54.0,0.184,4,59,0,2611,2674,4345,2937,1360.0,1584.0,2985.0
56,ClassB,BasketballDrive,0,46,8,43.3,48.9,38.7,77.9,98.5,7,3,4,0,33,612,44,57,75.1,0.186,4,40,0,2111,2155,2767,2188,1072.0,1119.0,1695.0
57,ClassB,BasketballDrive,32,46,8,6.9,78.0,3.6,4.6,100.0,4,0,0,4,0,847,2,3,4.4,0.201,0,2,0,39,41,888,41,32.0,9.0,856.0
58,ClassB,BasketballDrive,56,46,8,32.7,61.0,22.2,27.4,76.5,6,0,4,2,58,501,9,11,17.7,0.164,0,9,0,180,189,690,247,153.0,98.0,537.0
59,ClassB,BasketballDrive,all,46,8,36.9,50.6,28.9,54.9,96.3,17,3,8,6,91,1960,55,71,51.5,0.184,4,51,0,2330,2385,4345,2476,1257.0,1226.0,3088.0
60,ClassB,BasketballDrive,0,46,16,43.1,48.2,38.9,79.1,98.2,7,5,2,0,41,579,47,62,75.9,0.187,3,44,0,2141,2188,2767,2229,1076.0,1156.0,1691.0
61,ClassB,BasketballDrive,32,46,16,7.3,87.2,3.8,4.4,100.0,4,0,0,4,0,849,2,2,4.2,0.203,0,2,0,37,39,888,39,34.0,5.0,854.0
62,ClassB,BasketballDrive,56,46,16,32.6,52.4,23.5,28.7,64.9,6,0,5,1,107,492,9,12,11.9,0.182,0,9,0,189,198,690,305,162.0,147.0,528.0
63,ClassB,BasketballDrive,all,46,16,36.8,49.4,29.3,55.7,94.2,17,5,7,5,148,1924,59,77,51.0,0.188,3,56,0,2362,2421,4345,2569,1272.0,1304.0,3073.0
56,ClassB,BasketballDrive,0,46,32,41.4,46.9,37.0,77.3,98.0,7,3,4,0,44,627,47,64,74.1,0.19,4,43,0,2093,2140,2767,2184,1025.0,1162.0,1742.0
57,ClassB,BasketballDrive,32,46,32,7.1,82.5,3.7,4.5,100.0,4,0,0,4,0,848,1,1,4.4,0.193,0,1,0,39,40,888,40,33.0,7.0,855.0
58,ClassB,BasketballDrive,56,46,32,36.3,54.7,27.0,34.1,69.9,6,0,6,0,101,455,7,9,18.4,0.185,0,7,0,228,235,690,336,186.0,154.0,504.0
59,ClassB,BasketballDrive,all,46,32,36.0,48.5,28.6,55.6,94.3,17,3,10,4,145,1930,55,74,51.0,0.189,4,51,0,2360,2415,4345,2560,1244.0,1323.0,3101.0
60,ClassB,BasketballDrive,0,46,64,41.1,46.1,37.0,78.7,98.4,7,4,3,0,36,588,44,56,75.9,0.187,5,38,0,2135,2179,2767,2215,1023.0,1195.0,1744.0
61,ClassB,BasketballDrive,32,46,64,7.9,74.0,4.2,5.6,100.0,4,0,0,4,0,838,3,3,5.3,0.204,0,3,0,47,50,888,50,37.0,13.0,851.0
62,ClassB,BasketballDrive,56,46,64,33.8,60.5,23.3,28.3,74.4,6,0,4,2,67,495,9,13,17.2,0.178,0,9,0,186,195,690,262,161.0,105.0,529.0
63,ClassB,BasketballDrive,all,46,64,35.6,48.3,28.1,55.7,95.9,17,3,8,6,103,1925,57,73,52.0,0.187,5,51,0,2363,2420,4345,2523,1221.0,1309.0,3124.0
64,ClassB,Cactus,58,18,8,28.6,32.0,25.8,64.6,80.1,1,0,1,0,80,177,6,8,47.4,0.12,0,6,0,317,323,500,403,129.0,274.0,371.0
65,ClassB,Cactus,all,18,8,28.6,32.0,25.8,64.6,80.1,1,0,1,0,80,177,6,8,47.4,0.12,0,6,0,317,323,500,403,129.0,274.0,371.0
66,ClassB,Cactus,58,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0,293,300,500,371,119.0,252.0,381.0
67,ClassB,Cactus,all,18,16,27.3,32.1,23.8,60.0,80.9,1,0,1,0,71,200,7,12,44.4,0.119,0,7,0,293,300,500,371,119.0,252.0,381.0
64,ClassB,Cactus,58,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0,296,302,500,390,117.0,273.0,383.0
65,ClassB,Cactus,all,18,32,26.3,30.0,23.4,60.4,77.4,1,0,1,0,88,198,6,13,41.6,0.119,0,6,0,296,302,500,390,117.0,273.0,383.0
66,ClassB,Cactus,58,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0,301,307,500,367,127.0,240.0,373.0
67,ClassB,Cactus,all,18,64,29.3,34.6,25.4,61.4,83.7,1,0,1,0,60,193,6,11,48.2,0.121,0,6,0,301,307,500,367,127.0,240.0,373.0
68,ClassB,Cactus,58,22,8,28.8,34.3,24.8,59.2,81.8,1,0,1,0,66,204,8,11,44.4,0.123,0,8,0,288,296,500,362,124.0,238.0,376.0
69,ClassB,Cactus,all,22,8,28.8,34.3,24.8,59.2,81.8,1,0,1,0,66,204,8,11,44.4,0.123,0,8,0,288,296,500,362,124.0,238.0,376.0
70,ClassB,Cactus,58,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0,269,275,500,341,105.0,236.0,395.0
71,ClassB,Cactus,all,22,16,25.0,30.8,21.0,55.0,80.6,1,0,1,0,66,225,6,14,40.6,0.121,0,6,0,269,275,500,341,105.0,236.0,395.0
68,ClassB,Cactus,58,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0,275,283,500,378,113.0,265.0,387.0
69,ClassB,Cactus,all,22,32,25.7,29.9,22.6,56.6,74.9,1,0,1,0,95,217,8,13,36.0,0.122,0,8,0,275,283,500,378,113.0,265.0,387.0
70,ClassB,Cactus,58,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0,298,306,500,389,124.0,265.0,376.0
71,ClassB,Cactus,all,22,64,27.9,31.9,24.8,61.2,78.7,1,0,1,0,83,194,8,11,43.0,0.121,0,8,0,298,306,500,389,124.0,265.0,376.0
72,ClassB,Cactus,58,26,8,29.8,35.3,25.8,61.8,84.7,1,0,1,0,56,191,8,10,49.0,0.125,0,8,0,301,309,500,365,129.0,236.0,371.0
73,ClassB,Cactus,all,26,8,29.8,35.3,25.8,61.8,84.7,1,0,1,0,56,191,8,10,49.0,0.125,0,8,0,301,309,500,365,129.0,236.0,371.0
