class_cat,seq_name,class_id,qp,msr,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassB,Kimono,0,18,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.141,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,18,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.129,0,0,0,2,2,122,2,2.0,0.0,120.0
ClassB,Kimono,all,18,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.141,0,1,0,236,237,362,237,142.0,95.0,220.0
ClassB,Kimono,0,22,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.140,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,22,8,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.067,0,0,0,2,2,122,2,2.0,0.0,120.0
ClassB,Kimono,all,22,8,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0,236,237,362,237,142.0,95.0,220.0
ClassB,Kimono,0,22,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,22,16,3.2,100.0,1.6,1.6,100.0,1,0,0,1,0,120,0,0,1.6,0.074,0,0,0,2,2,122,2,2.0,0.0,120.0
ClassB,Kimono,all,22,16,47.4,59.9,39.2,65.5,100.0,2,1,0,1,0,125,1,1,65.2,0.139,0,1,0,236,237,362,237,142.0,95.0,220.0
ClassB,Kimono,0,26,8,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.137,0,1,0,234,235,240,235,140.0,95.0,100.0
ClassB,Kimono,26,26,8,0.0,nan,0.0,0.0,nan,1,0,0,1,0,122,0,0,0.0,nan,0,0,0,0,0,122,0,0.0,0.0,122.0
ClassB,Kimono,all,26,8,46.9,59.6,38.7,64.9,100.0,2,1,0,1,0,127,1,1,64.6,0.137,0,1,0,234,235,362,235,140.0,95.0,222.0
ClassB,Kimono,0,26,16,58.9,59.6,58.3,97.9,100.0,1,1,0,0,0,5,1,1,97.5,0.139,0,1,0,234,235,240,235,140.0,95.0,100.0
