class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassC,BasketballDrill,32,26,32,33.35927356535503,2.5,5.7,1.6,16.1,57.3,2,0,1,1,120,837,18,20,2.3,0.155,0,18,0,143,161,998,281,16.0,265.0,982.0
ClassC,BasketballDrill,56,26,32,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,26,32,39.64574026541676,19.9,32.8,14.3,40.4,92.9,11,3,4,4,156,2995,61,90,36.1,0.204,2,59,0,1969,2030,5025,2186,718.0,1474.0,4307.0
ClassC,BasketballDrill,0,26,64,86.22172108736481,33.2,38.5,29.2,74.4,98.5,6,2,4,0,29,647,43,66,71.5,0.206,1,42,0,1837,1880,2527,1909,737.0,1175.0,1790.0
ClassC,BasketballDrill,32,26,64,32.52872751889242,2.5,5.4,1.6,15.5,52.4,2,0,1,1,141,843,18,20,-0.4,0.146,0,18,0,137,155,998,296,16.0,280.0,982.0
ClassC,BasketballDrill,56,26,64,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,26,64,39.58348286875241,20.9,34.1,15.0,40.6,92.3,11,2,5,4,171,2985,60,85,36.0,0.201,1,59,0,1980,2040,5025,2211,756.0,1461.0,4269.0
ClassC,BasketballDrill,0,30,8,84.20221509243628,30.0,35.4,26.0,71.8,97.9,6,3,3,0,38,713,41,69,68.7,0.207,2,39,0,1773,1814,2527,1852,657.0,1198.0,1870.0
ClassC,BasketballDrill,32,30,8,28.019089416104713,2.7,5.1,1.8,13.7,38.9,2,0,1,1,215,861,16,16,-9.4,0.155,0,16,0,121,137,998,352,18.0,334.0,980.0
ClassC,BasketballDrill,56,30,8,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,30,8,37.407101502847,18.7,30.6,13.5,38.9,88.5,11,3,4,4,253,3069,56,84,32.8,0.203,2,54,0,1900,1956,5025,2209,678.0,1537.0,4347.0
ClassC,BasketballDrill,0,30,16,85.67676103962654,29.6,34.5,25.8,73.8,98.7,6,3,3,0,25,661,46,67,71.0,0.206,2,44,0,1820,1866,2527,1891,653.0,1241.0,1874.0
ClassC,BasketballDrill,32,30,16,26.416028046302785,2.0,3.2,1.5,13.0,27.5,2,0,1,1,343,868,16,18,-22.9,0.153,0,16,0,114,130,998,473,15.0,458.0,983.0
ClassC,BasketballDrill,56,30,16,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,30,16,37.36426302864311,18.2,28.3,13.4,39.8,84.5,11,3,4,4,368,3025,61,84,31.3,0.203,2,59,0,1939,2000,5025,2368,671.0,1703.0,4354.0
ClassC,BasketballDrill,0,30,32,85.04873300107536,30.4,35.8,26.5,72.9,98.6,6,3,3,0,26,685,44,65,70.1,0.205,2,42,0,1798,1842,2527,1868,669.0,1202.0,1858.0
ClassC,BasketballDrill,32,30,32,29.22576609075072,2.5,4.4,1.7,14.1,36.3,2,0,1,1,247,857,18,18,-12.4,0.154,0,18,0,123,141,998,388,17.0,371.0,981.0
ClassC,BasketballDrill,56,30,32,0.0,0.4,100.0,0.2,0.0,nan,3,0,0,3,0,1500,0,0,0.0,nan,0,0,0,0,0,1500,0,3.0,0.0,1497.0
ClassC,BasketballDrill,all,30,32,38.09149969727536,18.9,30.5,13.7,39.5,87.9,11,3,4,4,273,3042,62,83,32.8,0.201,2,60,0,1921,1983,5025,2256,689.0,1573.0,4336.0
