seq_name,conf_thres,iou_thres,img_size,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm
ClassB_BasketballDrive_0,0.3,0.5,640,42.7,45.0,40.7,88.0,97.3,7,6,1,0,67,332,52,70,83.7,0.188,7,44,0
ClassB_BasketballDrive_0,0.3,0.55,640,42.8,44.9,40.8,88.3,97.3,7,6,1,0,69,325,53,69,83.8,0.189,8,45,1
ClassB_BasketballDrive_0,0.3,0.6,640,41.1,43.1,39.2,88.2,97.1,7,6,1,0,72,327,52,69,83.7,0.189,7,45,1
ClassB_BasketballDrive_0,0.3,0.65,640,38.5,40.4,36.7,88.0,97.1,7,6,1,0,73,332,56,72,83.3,0.188,9,47,1
ClassB_BasketballDrive_0,0.3,0.7,640,41.4,43.5,39.4,87.9,97.2,7,6,1,0,71,335,60,72,83.2,0.187,9,50,1
ClassB_BasketballDrive_0,0.3,0.75,640,41.1,43.3,39.1,87.6,97.2,7,6,1,0,69,342,65,74,82.8,0.187,10,54,1
ClassB_BasketballDrive_0,0.3,0.8,640,40.2,42.6,38.0,86.7,97.2,7,5,2,0,68,367,75,83,81.6,0.186,10,63,1
ClassB_BasketballDrive_0,0.3,0.85,640,31.8,33.8,30.1,86.4,97.2,7,5,2,0,68,375,83,91,81.0,0.188,10,73,0
ClassB_BasketballDrive_0,0.3,0.9,640,28.0,30.0,26.3,84.0,96.0,7,5,2,0,96,442,118,122,76.3,0.186,10,104,0
ClassB_BasketballDrive_0,0.35,0.1,640,25.1,32.6,20.4,61.7,98.8,7,0,7,0,20,1061,74,97,58.3,0.177,13,62,1
ClassB_BasketballDrive_0,0.35,0.15,640,29.5,35.6,25.1,69.5,98.6,7,0,7,0,28,844,67,97,66.1,0.181,12,56,1
ClassB_BasketballDrive_0,0.35,0.2,640,37.6,43.0,33.4,76.3,98.5,7,3,4,0,33,655,57,82,73.1,0.183,8,50,1
ClassB_BasketballDrive_0,0.35,0.25,640,36.9,40.7,33.6,80.9,98.2,7,4,3,0,41,528,55,80,77.4,0.185,9,46,0
