conf,iou,img-size,mAP
0.25,0.85,640,0.311104057
0.25,0.9,640,0.309865095
0.3,0.1,640,0.243407227
0.3,0.15,640,0.265824757
0.3,0.2,640,0.283050025
0.3,0.25,640,0.294686148
0.3,0.3,640,0.301458196
0.3,0.35,640,0.303716125
0.3,0.4,640,0.306017952
0.3,0.45,640,0.306590279
0.3,0.5,640,0.307740912
0.3,0.55,640,0.308077898
0.3,0.6,640,0.308278064
0.3,0.65,640,0.308713624
0.3,0.7,640,0.308754122
0.3,0.75,640,0.308948328
0.3,0.8,640,0.308957442
0.3,0.85,640,0.309195518
0.3,0.9,640,0.30780555
0.35,0.1,640,0.241058853
0.35,0.15,640,0.262780815
0.35,0.2,640,0.28001409
0.35,0.25,640,0.290976885
0.35,0.3,640,0.29764343
0.35,0.35,640,0.299794134
0.35,0.4,640,0.301412869
0.35,0.45,640,0.302222639
0.35,0.5,640,0.303492017
0.35,0.55,640,0.303831934
0.35,0.6,640,0.304044534
0.35,0.65,640,0.304373082
0.35,0.7,640,0.304437773
0.35,0.75,640,0.304646576
0.35,0.8,640,0.304585864
0.35,0.85,640,0.304682843
0.35,0.9,640,0.303544013
0.4,0.1,640,0.238347011
0.4,0.15,640,0.259250994
0.4,0.2,640,0.275433548
0.4,0.25,640,0.287005855
0.4,0.3,640,0.293100733
0.4,0.35,640,0.295374614
0.4,0.4,640,0.296882929
0.4,0.45,640,0.297468404
0.4,0.5,640,0.298393162
0.4,0.55,640,0.29862126
0.4,0.6,640,0.298728016
0.4,0.65,640,0.298832097
0.4,0.7,640,0.298918213
0.4,0.75,640,0.29902447
0.4,0.8,640,0.298997033
0.4,0.85,640,0.299160242
0.4,0.9,640,0.298248495
0.45,0.1,640,0.234920148
0.45,0.15,640,0.255004267
0.45,0.2,640,0.270605557
0.45,0.25,640,0.281846483
0.45,0.3,640,0.287486834
0.45,0.35,640,0.289769289
0.45,0.4,640,0.290933213
0.45,0.45,640,0.291525817
0.45,0.5,640,0.29210326
0.45,0.55,640,0.292335832
0.45,0.6,640,0.292332163
0.45,0.65,640,0.292325564
0.45,0.7,640,0.292311599
0.45,0.75,640,0.292539955
0.45,0.8,640,0.29253041
0.45,0.85,640,0.292728244
0.45,0.9,640,0.291990673
0.5,0.1,640,0.230294187
0.5,0.15,640,0.249908236
0.5,0.2,640,0.26374552
0.5,0.25,640,0.274891845
0.5,0.3,640,0.280072739
0.5,0.35,640,0.282368937
0.5,0.4,640,0.283305562
0.5,0.45,640,0.284018013
0.5,0.5,640,0.284364214
0.5,0.55,640,0.2844829
0.5,0.6,640,0.28448274
0.5,0.65,640,0.284479306
0.5,0.7,640,0.284473854
0.5,0.75,640,0.284589461
0.5,0.8,640,0.284588629
0.5,0.85,640,0.284688777
0.5,0.9,640,0.284097108
0.55,0.1,640,0.223997992
0.55,0.15,640,0.242311685
0.55,0.2,640,0.255210844
0.55,0.25,640,0.265200052
0.55,0.3,640,0.269445376
