class_cat,seq_name,class_id,qp,msr,mAP,IDF1,IDP,IDR,Rcll,Prcn,GT,MT,PT,ML,FP,FN,IDs,FM,MOTA,MOTP,IDt,IDa,IDm,num_matches,num_detections,num_objects,num_predictions,idtp,idfp,idfn
ClassD,BlowingBubbles,all,34,32,56.20625409238224,81.6,94.2,71.9,74.1,97.2,5,2,1,2,35,423,3,7,71.8,0.110,0,3,0,1209,1212,1635,1247,1176.0,72.0,459.0
ClassD,BlowingBubbles,0,34,64,94.8142676546165,92.5,94.3,90.6,94.6,98.6,3,2,0,1,14,56,1,3,93.1,0.101,0,1,0,975,976,1032,990,935.0,56.0,97.0
ClassD,BlowingBubbles,41,34,64,0.15802469135802472,0.0,0.0,0.0,0.0,0.0,1,0,0,1,1,225,0,0,-0.4,nan,0,0,0,0,0,225,1,0.0,1.0,225.0
ClassD,BlowingBubbles,77,34,64,78.3051028017471,72.2,88.8,60.8,68.5,100.0,1,0,1,0,0,119,2,5,68.0,0.130,0,2,0,257,259,378,259,230.0,29.0,148.0
ClassD,BlowingBubbles,all,34,64,57.75913171590721,80.8,93.1,71.3,75.5,98.8,5,2,1,2,15,400,3,8,74.4,0.107,0,3,0,1232,1235,1635,1250,1165.0,86.0,470.0
ClassD,BlowingBubbles,0,38,8,93.9910047897134,89.6,91.2,88.1,93.5,96.9,3,2,0,1,31,67,2,3,90.3,0.105,0,2,0,963,965,1032,996,909.0,88.0,123.0
ClassD,BlowingBubbles,41,38,8,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,10,225,0,0,-4.4,nan,0,0,0,0,0,225,10,0.0,10.0,225.0
ClassD,BlowingBubbles,77,38,8,9.25925925925926,4.6,75.0,2.4,3.2,100.0,1,0,0,1,0,366,1,1,2.9,0.235,0,1,0,11,12,378,12,9.0,3.0,369.0
ClassD,BlowingBubbles,all,38,8,34.416754682990884,69.2,90.1,56.1,59.8,96.0,5,2,0,3,41,658,3,4,57.1,0.106,0,3,0,974,977,1635,1018,918.0,101.0,717.0
ClassD,BlowingBubbles,0,38,16,94.23971440140596,90.7,91.3,90.0,95.1,96.5,3,2,0,1,36,51,2,2,91.4,0.103,0,2,0,979,981,1032,1017,929.0,89.0,103.0
ClassD,BlowingBubbles,41,38,16,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,1,26,225,0,0,-11.6,nan,0,0,0,0,0,225,26,0.0,26.0,225.0
ClassD,BlowingBubbles,77,38,16,24.6031746031746,9.6,50.0,5.3,10.6,100.0,1,0,0,1,0,338,5,5,9.3,0.225,0,5,0,35,40,378,40,20.0,20.0,358.0
ClassD,BlowingBubbles,all,38,16,39.614296334860185,69.8,87.4,58.0,62.6,94.4,5,2,0,3,61,611,9,9,58.3,0.108,0,9,0,1015,1024,1635,1085,949.0,137.0,686.0
ClassD,BlowingBubbles,0,38,32,93.17519485560274,89.3,90.6,88.0,93.3,96.2,3,2,0,1,38,69,2,4,89.4,0.102,0,2,0,961,963,1032,1001,908.0,94.0,124.0
ClassD,BlowingBubbles,41,38,32,1.2146669039093838,1.6,10.0,0.9,0.9,10.0,1,0,0,1,18,223,0,0,-7.1,0.273,0,0,0,2,2,225,20,2.0,18.0,223.0
ClassD,BlowingBubbles,77,38,32,8.201058201058201,7.0,70.0,3.7,5.3,100.0,1,0,0,1,0,358,1,1,5.0,0.149,0,1,0,19,20,378,20,14.0,6.0,364.0
ClassD,BlowingBubbles,all,38,32,34.19697332019011,69.1,88.7,56.5,60.2,94.6,5,2,0,3,56,650,3,5,56.6,0.103,0,3,0,982,985,1635,1041,924.0,118.0,711.0
ClassD,BlowingBubbles,0,38,64,93.18352936321097,89.0,89.2,88.8,93.7,94.2,3,2,0,1,59,65,2,3,87.8,0.106,0,2,0,965,967,1032,1026,916.0,111.0,116.0
ClassD,BlowingBubbles,41,38,64,0.04210526315789474,0.0,0.0,0.0,0.0,0.0,1,0,0,1,33,225,0,0,-14.7,nan,0,0,0,0,0,225,33,0.0,33.0,225.0
